sample-data.csv
ph,alkalinity,chlorine,calcium_hardness,cyanuric_acid,pool_volume,parameter,chemical,target,dosage
7.4,80,0,200,30,400,chlorine,Chlorine Gas,1,0.05
7.4,80,1,200,30,400,chlorine,Chlorine Gas,2,0.10
7.4,80,2,200,30,400,chlorine,Chlorine Gas,3,0.15
7.4,80,0,200,30,1000,chlorine,Chlorine Gas,1,0.13
7.4,80,1,200,30,1000,chlorine,Chlorine Gas,2,0.26
7.4,80,2,200,30,1000,chlorine,Chlorine Gas,3,0.39
7.4,80,0,200,30,5000,chlorine,Chlorine Gas,1,0.65
7.4,80,1,200,30,5000,chlorine,Chlorine Gas,2,1.30
7.4,80,2,200,30,5000,chlorine,Chlorine Gas,3,1.95
7.4,80,0,200,30,10000,chlorine,Chlorine Gas,1,1.30
7.4,80,1,200,30,10000,chlorine,Chlorine Gas,2,2.60
7.4,80,2,200,30,10000,chlorine,Chlorine Gas,3,3.90
7.4,80,0,200,30,20000,chlorine,Chlorine Gas,1,2.60
7.4,80,1,200,30,20000,chlorine,Chlorine Gas,2,5.20
7.4,80,2,200,30,20000,chlorine,Chlorine Gas,3,7.80
7.4,80,0,200,30,50000,chlorine,Chlorine Gas,1,6.50
7.4,80,1,200,30,50000,chlorine,Chlorine Gas,2,13.00
7.4,80,2,200,30,50000,chlorine,Chlorine Gas,3,19.50
7.4,80,0,200,30,100000,chlorine,Chlorine Gas,1,13.00
7.4,80,1,200,30,100000,chlorine,Chlorine Gas,2,26.00
7.4,80,2,200,30,100000,chlorine,Chlorine Gas,3,39.00
7.4,80,0,200,30,400,chlorine,Calcium Hypochlorite 67%,1,0.08
7.4,80,1,200,30,400,chlorine,Calcium Hypochlorite 67%,2,0.16
7.4,80,2,200,30,400,chlorine,Calcium Hypochlorite 67%,3,0.24
7.4,80,0,200,30,1000,chlorine,Calcium Hypochlorite 67%,1,0.20
7.4,80,1,200,30,1000,chlorine,Calcium Hypochlorite 67%,2,0.40
7.4,80,2,200,30,1000,chlorine,Calcium Hypochlorite 67%,3,0.60
7.4,80,0,200,30,5000,chlorine,Calcium Hypochlorite 67%,1,1.00
7.4,80,1,200,30,5000,chlorine,Calcium Hypochlorite 67%,2,2.00
7.4,80,2,200,30,5000,chlorine,Calcium Hypochlorite 67%,3,3.00
7.4,80,0,200,30,10000,chlorine,Calcium Hypochlorite 67%,1,2.00
7.4,80,1,200,30,10000,chlorine,Calcium Hypochlorite 67%,2,4.00
7.4,80,2,200,30,10000,chlorine,Calcium Hypochlorite 67%,3,6.00
7.4,80,0,200,30,20000,chlorine,Calcium Hypochlorite 67%,1,4.00
7.4,80,1,200,30,20000,chlorine,Calcium Hypochlorite 67%,2,8.00
7.4,80,2,200,30,20000,chlorine,Calcium Hypochlorite 67%,3,12.00
7.4,80,0,200,30,50000,chlorine,Calcium Hypochlorite 67%,1,10.00
7.4,80,1,200,30,50000,chlorine,Calcium Hypochlorite 67%,2,20.00
